,Title,Abstract,Keywords,eia
10,"Hydroelectric plants environmental viability: Strategic environmental
assessment application in Brazil","Brazil has a predominantly renewable origin electricity generation matrix, with hydro generation
accounting for about 69% of the supply. This paper promotes hydropower projects in Brazil environ-
mental licensing procedure critical assessment, with the aim of identifying and assessing possible
solutions to enhance the process, especially through Strategic Environmental Assessment (SEA)
application to hydroelectric generation expansion planning processes. It was concluded that impact
assessment has led to significant environmental improvements, as it is capable of preventing, controlling
and compensating significant –and very often irreversible –environmental impacts, especially through
projects optimization and environmental programs that were not initially foreseen in the EIA inclusion.
However, as has been expounded throughout this study, there are still several gaps and limitations in the
current process, both in power generation expansion planning aspect and project environmental impact
assessment aspect. SEA application in the planning phase could contribute to facilitate and simplify
hydroelectric plants licensing. Many currently compulsory stages that are carried out after the request
for a prior license, such as the consultation made to involved entities and the area environmental
diagnosis could already be commenced in the planning phase","Keywords:
Hydropower
Environment
Brazil
Impact ",1.0
11,A system for evaluating the impact of noise pollution on the population’s health,"The aim of this study was to develop a support system for the evaluation of noise pollution, applied to the central urban area of Rio Claro, São Paulo State, Brazil. Data were obtained from noise measurements and interviews with the population, generating the following indicators: equivalent sound level (Leq ), traffic noise index (LTNI ), and a participatory diagnosis (Dp ), integrated through a fuzzy inference system (FIS). The proposed system allowed classifying the measurement points according to the degree of impact of noise pollution on the population's health (IPS ) in the study area. Impact was considered significant in 31.4% of the measurement points and very significant in 62.9%. The FIS can be adjusted to local conditions, allowing generalization and thus also supporting noise pollution evaluation and respective environmental noise management in other geographic areas",Fuzzy Logic; Sound Contamination; Noise Effects ,1.0
12,Setting boundaries of participation in environmental impact assessment,"Public participation processes are touted as an effective way to increase the capacity and legitimacy of environmental
assessment and the regulatory process that rely on them. Recent changes to the Canadian environmental
assessment process narrowed the criteria for who can participate in environmental assessments from any who
were interested to those who were most directly affected. This article examines the potential consequences of
this change by exploring other areas of Canadian regulatory law where a similar directed affected test has
been applied. This new standard risks institutionalizing the long-understood representational bias confronted
by more diffuse interest like environmental protection. Restricting participation to the “directly affected” is far
too narrowa test for processes like environmental assessment that are designed to determine the public interest.","Environmental impact assessment
Public interest standing
Public participation
Directly affected
Representation
Canada ",1.0
13,Institutions for Environmental Regulation: the Environmental Licensing Process in Four Countries Producers of Hydroelectricity,"In the final decades of the twentieth century, the scenario of environmental degradation spurred the establish-ment of standards and instruments that affect the viability of infrastructure for the analysis of environmental aspects in addition to the technical and economical aspects commonly evaluated. The Environmental Impact Assessment (EIA) is one of these instruments. The article presents a comparative analysis of the licensing process for hydroelectric plants in Brazil, the United States, Canada and China. The objective is to evaluate the tools used in energy planning in comparative perspective, in order to identify lessons that could be absorbed by the Brazilian institutional framework. Through this analysis, it is possible to verify that the processes of environmental licensing in different countries are similar in their origins, developments, structure and defects. However, lessons can be drawn for the Brazilian reality in view of the results and the need for strengthening this institutional frame", hydroelectricity; impact assessment; natural resources. ,1.0
14,Key principles of marine ecosystem-based management,"Ecosystem-BasedManagement(EBM)hasgainedinternationalpopularityinrecentyears,butthelackof
consensus onitsdefinition hasprecludedtheuseofauniversalimplementationframework.Thelarge
number andvarietyofprinciplesthatmakeupEBM,andthediversityinperspectivesamongkey
management players,hasimpededthepracticalapplicationofEBM.Agreementonalistoftheessential
ingredients ofEBMisvitaltosuccessfulapplication.AfrequencyanalysisofEBMprincipleswas
conducted toidentifytheKeyPrinciplesthatcurrentlydefine EBM,fromalistoftwenty-sixprinciples
extractedfromasubsetoftheEBMtheoretical/conceptualliterature(coveringarangeofpublished
sources acrossdisciplinesandapplicationtypes).FifteenKeyPrincipleswereidentified (indescending
frequencyofappearanceintheliterature): Consider EcosystemConnections, AppropriateSpatial&
TemporalScales, AdaptiveManagement, Use ofScientific Knowledge, IntegratedManagement,
Stakeholder Involvement, AccountforDynamicNatureofEcosystems, Ecological Integrity&
Biodiversity, Sustainability, RecogniseCoupledSocial-EcologicalSystems, Decisions reflect Societal
Choice, Distinct Boundaries, Interdisciplinarity, AppropriateMonitoring, and AcknowledgeUncer-
tainty. ThispaperalsoexaminesthedevelopmentofEBMprinciplesovertime,leadingtopredictionson
the directionsEBMwilltakeinthefuture.Thefrequencyanalysismethodologyusedherecanbe
replicatedtoupdatetheKeyPrinciplesofEBMinthefuture.Indeed,furtherresearchonpotential
emerging KeyPrinciplessuchas ‘Consider CumulativeImpacts’, ‘Apply thePrecautionaryApproach’ and
‘Explicitly AcknowledgeTradeOffs’ will helpshapeEBManditssuccessfulapplicationinthemanage-
ment ofmarineactivities.","Ecosystem-basedmanagement
Ecosystemapproach
Keyprinciples
Marine management
Ocean management ",1.0
15,The policy dimension of energy transition: The Brazilian case in promoting renewable energies (2000–2022),"Policies can play a central role in the energy transition by promoting renewable sources. The successful
implementation of sustainable energy and climate policies requires political will and public support. Governments
in many countries are taking measures to drive changes in energy systems and incentivize renewable
energies. Drawing on the Brazilian regulations and the database from the National Agency of Electric Energy, in
this article, we examine the public policy design and implementation to boost renewable energy, as well as the
emerging configuration of the sectoral governance that stems from energy policies. The installed electricity
capacity in Brazil is mostly renewable due to hydropower. However, territorial matters of hydropower plant
locations in areas with high biodiversity, the uncertainty about future water availability, and the impact of
climate change on water resources impose a challenge on sectoral planning for understanding the spatial and
water-energy nexus to avoid unintended consequences, as well as to promote alternative renewable energies.
Strategies for expanding alternative sources need to consider, the growing presence of private agents (national
and international) in the electricity sectoral configuration, which can shape national policies seeking their interest.
Thus, the sectoral policy must seek to engage them in the decarbonization policy. On the other hand,
adequate territorial planning, regulations, and policies that may shape the nature of the expansion, pace, and
direction of the low-carbon energy transition also need to be considered.","Energy transition
Renewable energy
Policy dimension
Electricity mix
Energy policy
Stakeholders ",1.0
16,"REORIENTING TO ACHIEVE SUSTAINABILITY IN
CANADIAN WATER MANAGEMENT","The  reorientation of  water management approaches across  Canada  ref  lects  ideas
which  have emerged  from the  World  Commission  on Environment and  Develop-
ment  and  the Earth  Summit.  This article reviews  the manner  in which  ten  key
concepts  (sustainability, stewardship,  ecosystem  approach,  enhancing  effective-
ness  and efficiency,  information  and  understanding,  partnerships and
stakeholders,  impact  assessment,  adaptive  management,  anticipation  and  pre-
vention,  alternative  dispute  resolution) are being incorporated  into Canadian
water  management  policies,  structures  and practices.  The article  also considers
issues  and  opporlunities related  to seven  strategic aspects (catchment-based
management,  market  mechanisms  and privatization, linking  environment and
human  health,  ecosystem  health  and the  environment,  environmental  risk  man-
agement, sustainable development and  education, edge and  boundary  problems)
oertinent to  reorientation", ,0.0
17,"Integration of impact assessment types improves
consideration of alternatives","Impact assessment should contribute to both the development of alternatives (‘design phase’) and their comparison (‘choice
phase’). If impact assessment is fragmented into many specialist types, these two phases are inevitably carried out
separately. This may be acceptable for the choice phase, but it is detrimental to the design phase, because a genuine and
creative development of alternatives requires all expertise and values to be integrated. The paper argues this point and
concludes that better integration is necessary to ensure that impact assessment adds more value to decision-making, by using
all the relevant expertise throughout the different phases, and contributing to put forward more sustainable alternatives",design; choice; alternatives; effectiveness; decision-making ,1.0
18,Developing key performance indicators for strategic environmental assessment effectiveness: a systematic framework,"Key performance indicators (KPIs) are critical quantifiable metrics used to evaluate performance or effectiveness. In the context of Strategic Environmental Assessment (SEA), they provide the framework by which the effectiveness of SEA practice can be examined and compared. A wide range of KPIs of SEA effectiveness have been developed, but to date they have not been systematically linked to the full range of dimensions of SEA effectiveness. The development of a concise framework of 10 SEA effectiveness KPIs for Ireland addresses this methodological gap. It has been developed through a bottom-up compilation of existing SEA effectiveness KPIs from the international literature, and then sieving these by: A) ensuring they tackle current practice weaknesses for SEA in Ireland; B) aligning them with strategic/tactical/operational success factors for effective SEA; C) prioritising them on the basis of feedback from SEA experts; and D) further refining them through project steering committee opinion. The proposed KPIs are unlikely to be pertinent for all jurisdictions, but the process used to develop them can be applied elsewhere.",Key performance indicatorsKPIstrategic environmental assessmenteffectivenessIreland ,1.0
19,"Social license to operate applied to small
hydroelectric power plants: community
perspectives and reflections","Social License to Operate (SLO) is a way to ensure community acceptance for entrepreneurial 
operations. This study describes and discusses the perspectives from communities, and exter-nal agents involved in SLO acquisitions and maintenance for a Small Hydroelectric Power Plant 
(SHP).  Then,  we  reflect  upon  SLO  applications  for  fair  socio-environmental  management.  We 
used a case study for the research design. Data were collected using documents provided by 
the  entrepreneur  and  semi-structured  interviews  of  15  stakeholders.  We  performed  content 
analysis on the information obtained, along with literature discussion. Community representa-tives and external stakeholders reported not knowing about the SLO term and expected more 
benefits for the affected region. We observed that the main characteristic SLO results occurred 
in the phases preceding project operations. After the project was completed, the relationship 
among the parties weakened. Although it can’t be possible to measure SLO level based on data 
from  this  case  study,  we  point  that  SLO  must  take  participatory  systems,  collective  work, 
environmental  protection,  and  social  guarantees  into  account  at  all  enterprise  life  cycle,  to 
promote honest pathways for regional development. This study can contribute to discussions 
on implementing SLO in new contexts, such as SHP","Social and environmental 
impacts; affected 
communities; sustainable 
development ",1.0
20,Environmental Compensation in Planning: A Review of Five Different Countries with Major Emphasis on the German System,"Abstract
The use of different measures to compensate the environment when human development projects take place has been frequently discussed in both Europe and the USA. This paper reviews the use of environmental compensation in Germany, the USA, the Netherlands, the UK and Sweden. In Germany compensation methods have been used since the 1970s. In the USA there are requirements for mitigation and compensation measures for wetland losses. In the Netherlands, the compensation measures are focused on certain protected areas. In the UK there are few legal instruments that formally require environmental compensation. In Sweden the new environmental legislation has made it possible to legally demand environmental compensation measures to gain permits for exploitations. However, these new Swedish requirements have only been available since 1999 and the use of compensation measures needs to be developed. In this article we argue that the German environmental compensation practice is most developed and is worth further study in order to develop the use of environmental compensation methods in the Swedish planning system. Copyright © 2003 John Wiley & Sons, Ltd and ERP Environment.", ,1.0
21,"The regulatory power of fiscal and monetary policies in driving renewable 
energy: The moderating influence of political stability in belt and road 
initiative countries","The government’s policies on developing energy strategies have received much attention in empirical research. 
As such, fiscal and monetary policies can drive renewable energy. To this end, the current study proposes a new 
dimension  in  the  empirical  framework  by regressing  the  fiscal  and  monetary policy  variables  on  renewable 
energy under the moderating effect of political stability for the 71 “Belt and Road Initiative (BRI)”  nations be-tween 2000 and 2022. This research designs static and dynamic STIRPAT models to determine the effectiveness 
of lag periods. The results show that expansionary fiscal policy is instrumental in driving renewable energy 
development; in contrast, the contractionary monetary policy aligns with a reduction in renewable generation in 
the selected BRI countries. The moderating role of political stability in driving the monetary policy-renewable 
energy development and fiscal policy-renewable energy in these countries remain instrumental. The outcomes 
were reaffirmed by changing the estimator, testing the relationship with different fiscal and monetary policy 
indicators, and using the asymmetric analysis of the benchmark model to support the regression results. Finally, 
it discusses various policy proposals to the policymakers of BRI countries for practice.",Monetary and fiscal policiesRenewable energyStatic and dynamic STIRPATBRI countries ,0.0
22,A living lab learning framework rooted in learning theories,"Complex  issues  like  sustainable  land  and  water  management  demand  a  transdisciplinary  and  collaborative 
approach, such as that of living labs, bridging between science, policy, and society. Living labs facilitate active 
collaboration among diverse actors from public and private sectors, research institutes, and civil society, creating 
an environment that fosters innovations to address environmental challenges. However, the impact of these labs 
is often assessed based only on their immediate results, overlooking the potential effects of learning during co- 
creation  activities.  Thus,  this  paper  develops  a  framework  that  allows  to  capture  learning  in  a  living  lab  co- 
creative  environment.  In  response  to  widespread  calls  for  an  epistemological  basis  for  living  labs,  the  study 
bases the framework on relevant learning theories. First, the literature dealing with learning theories relevant to 
the characteristics of living labs is reviewed. The relevant theories are identified as: behaviorism, cognitivism, 
constructivism,  experimental,  situated,  social,  organizational,  transformative,  and  connectivism.  Next,  the  in-sights on learning theories are used in developing a Living Lab Learning Framework with three interacting com-ponents:  A.  Learning  types  (what),  B.  Learning  process  (how),  and  C.  Learning  levels  (who),  contributing  to 
learning outcomes. The framework distinguishes content, capacity, and network as learning types; intentional or 
incidental as learning processes; and individual, team, and organization as learning levels. Finally, the potential 
application of the framework during the initiation, implementation, and evaluation project phases of living labs 
is highlighted.  The framework is envisaged to extend the impacts of  living labs beyond immediate results by 
providing a systematic method for assessing learning and its outcomes and generating insights regarding future 
improvements in the configuration of living lab learning environments","Keywords:
Learning frameworkLearning theoriesCo-creation activitiesInnovation impactsImpact assessmen ",0.0
23,"Agricultural resource management strategies for greenhouse gas mitigation: 
The land-energy-food-waste nexus based on system dynamics model","Transforming agricultural systems to mitigate climate change challenges is one of China’s most urgent tasks. The 
land, energy, food and waste nexus (LEFWN) in the agricultural sector not only improves resource efficiency but 
also has the potential to contribute to the mitigation of greenhouse gas (GHG). However, existing studies have 
not yet evaluated the potential impact of policy implementation on mitigating GHG within the LEFWN system, 
especially in identifying trade-offs and synergies. This study developed a system dynamics model (SDM) based on 
historical data from 2011 to 2020 in Jiangxi, China, incorporating positive and negative feedback mechanisms. 
This model generated five primary policy scenarios and eleven derived scenarios. The findings show that the 
SDM highlighted dynamic characteristics and nonlinear relationships within the LEFWN systems. The integrated 
scenario, which includes bioenergy development, land use policies, and the substitution of organic fertilizers for 
chemical fertilizers, can potentially decrease GHG emissions by up to about 14.20 %. Significant trade-offs exist 
between food security policies and other policies, depending on the strategic objectives pertaining to land, en-ergy, or waste management. Policymakers can benefit from a comprehensive understanding of the dynamic 
interplay  between  agricultural  resources  and  assessing  the  effectiveness  and  utility  of  different  strategies. 
Assessing the environmental impacts of agricultural transformation can offer empirical evidence to advocate for 
promoting low-carbon sustainable agriculture and provide insights for developing countries addressing climate 
change challenges",Land-energy-food-wasteNexusScenario simulationTrade-offSynergy effect ,0.0
24,"Developing and evaluating environmental 
impact assessment systems for small developing 
countries ","This  paper  categorizes  and  reviews  different  ap-
proaches to environmental impact assessment 
(EIA)  system  evaluation.  It  then  describes  the  
application  of  Wood’s  (1995)  ‘ideal’  EIA  system  
evaluation  criteria  to  the  Republic  of  Maldives.  
Few  of  the  criteria  are  actually  met.  Is  the  Mal-
divian EIA system therefore fundamentally  
flawed  or  deficient?  Field  observations  suggest  
that this is not so and, while many improvements  
can  be  made,  the  system  is  quite  locally  appro-
priate. It is concluded that there are a number of 
factors  contributing  to  the  positive  development  
of  the  Maldavian  EIA  system,  and  these  should  
be  added  on  to  Wood’s  list  as  supplementary  cri-
teria appropriate to small developing countries","environmental impact assessment; developing   
countries; Maldives  ",1.0
25,The significance spectrum and EIA significance determinations,"The concept of significance is fundamental to environmental impact assessment (EIA). Even though there are many
guidelines describing technical characteristics of impacts (such as magnitude, geographic extent, extent and frequency) that
should be considered, there has remained a long-standing need for increased clarity on how significance determinations are
ultimately reached by significance determiners, those who, on behalf of governments, make a legal determination of
significance in EIAs. This involves the application of societal values, in the form of subjective informed judgement, about
the acceptability of the predicted impacts. This paper introduces the significance spectrum, a graphic model that illustrates a
process for determining significance, using the following steps: (1) determining the threshold of significance for each valued
component; (2) weighing the evidence and considering predicted impacts; (3) deciding which side of the threshold the
predicted adverse impact falls on; and (4) for unacceptable impacts, deciding if mitigations can make the residual impact
acceptable. Concepts such as ecological significance should not be confused with significance in EIAs, which may not only
include ecological significance but also considers societal values. We provide specific steps for determining significance that
help clarify this fundamental aspect that lies at the core of EIA decision-making",EIA decision-making; EIA significance determination; significance spectrum; societal values ,1.0
26,,, ,1.0
27,"A Typology of Stakeholders and Guidelines for Engagement in Transdisciplinary, Participatory Processes","This paper fulfils a gap in environmental management by producing a typology of stakeholders for effective participatory processes and co-design of solutions to complex social–environmental issues and then uses this typology for a stepwise roadmap methodology for balanced and productive stakeholder engagement. Definitions are given of terminology that is frequently used interchangeably such as “stakeholders,” “social actors,” and “interested parties.” Whilst this analysis comes from a marine perspective, it is relevant to all environments and the means of tackling environmental problems. Eleven research questions about participative processes are addressed, based on more than 30 years of experience in water, estuarine, coastal, and marine management. A stepwise roadmap, supported by illustrative tables based on case-studies, shows how a balanced stakeholder selection and real engagement may be achieved. The paper brings these together in the context of several up-to-date concepts such as complex, nested governance, the 10 tenets for integrated, successful, and sustainable marine management, the System Approach Framework and the evolution of DPSIR into DAPSI(W)R(M) framework. Examples given are based on the implementation of the Marine Strategy Framework Directive, the Water Framework Directive, the Environmental Impact Assessment Directive, the Framework Directive for Maritime Spatial Planning, as well as for Regional Sea Conventions. The paper also shows how tools that have been developed in recent projects can be put to use to implement policy and maximize the effectiveness of stakeholder participation.","Stakeholders, transdisciplinary research, coastal and marine management, implementation of MSFD ",0.0
